Usage: ./mm-cuda <size>
blockIdx = 15,15, threadIdx = 15,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 16,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 17,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 18,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 19,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 20,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 21,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 22,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 23,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 24,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 25,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 26,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 27,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 28,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 29,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 30,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 31,25, blockDim = 32,32, start time = -673515341
blockIdx = 15,15, threadIdx = 0,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 1,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 2,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 3,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 4,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 5,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 6,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 7,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 8,6, blockDim = 32,32, start time = -673515430
blockIdx = 15,15, threadIdx = 9,6, blockDim = 32,32, start time = -673515430
